"","x"
"1","한국야구의 진정한 발전을 위해서 이런 쉣같은 영감탱이의 우상화,신격화는 막아야....영감님 핥는 작자들은 내가 롯데팬이라고 뒤집어씌울듯...ㅉㅉ"
"2","성큰옹..선수는 그냥 소모품임? 실망..."
"3","야신은 무슨 잘못도 인정 안하는 노망난 할배지"
"4","동걸이 인생은 내 알바아니지"
"5","이동현 전병두 이승호 정대현 김성길 신윤호 김현욱 박정현 고효준 장문석 : 감독님 팔이 안올라가요 ㅠㅠ"
"6","제목 틀렸습니다. 데드볼이라고 해야지 않나 시포요."
"7","독립구단에서도 연봉은 억대로 받으셨죠"
"8","빈볼시키고 선수를 소모품처럼 버리고..."
"9","빈볼이라쓰고실투라부른다"
"10","이동걸만 불쌍...."
"11","빈볼왕101010010101"
"12","영화가 얼마나 사람의 시야를 흐리게 만드는지 분명히 보여준다. 감성팔이를 하려면 최소한 감성이 있는 사람이 해야하지 않을까? 선수들을 인간적으로 생각하는 사람으로 이미지 메이킹을 하지만 실제 야구장에서는 정반대의 일이 벌어지니..정치를 했어도 잘했겠다"
"13","이만수 종신갓동니뮤ㅠ"
"14","0점 왜 못주는거죠? 꼭 주고 싶습니다ㅠ"
"15","빈볼 던지라고 시켜놓고 자기는 안시켰다고 그 투수만 제구안되는 병신으로 만들어버리네."
"16","인간의 탈을 쓴 더러운 양아치.야구의 신이 아니라야비의 신이게 딱 킬성근의 본모습.킬성근의 가식에 치가 떨린다."
"17","미화 하나는 잘 시키는 역겨운 한국."
"18","파울볼? 김성근하면 역시 빈볼이지"
"19","추잡한 늙은이 야구계를 떠나라"
"20","야구계에서 사라지십쇼. 언제까지 그렇게 더러운 플레이로 팬들 눈살을 찌푸리게 하실 겁니까? 이게 한 두번이어야 그러려니 하지..SK 때부터 악질입니다 정말.. 뭐라고 사과의 메시지라도 보내고 받을 벌은 받아야 하는 거 아닙니까? 실망입니다 정말."
"21","황재균을 향한 공이 두번 빗나가고 세번째 공을 던지려 들때 이동걸의 비참한 표정이 뇌리에 깊이 박혀 지워지지가 않는다. 33살의 무명이 4살어린 유명선수에게 비웃음을 당하는 그 기분. 그리고 출장금지 징계를 먹는다면 더이상1군으로 올라올수 없게 될테고"
"22","당신이 추구하는 야구 어제 아주 잘 보았습니다 ^^  남 가르치기전에 자신부터 돌아보시길 ㅎㅎ"
"23","빈볼 더티야구 노답..."
"24","이미지 세탁왕 제일교포 김성큰"
"25","롯데 좋아하기로 유명한 조진웅 나레이션이 그야말로 골계의 미"
"26","명장 같은소리하고 자빠졌네, 이기기위해선 선수들 선수생명  끊어져도 좋다는  식의감독은 명장이 아니다."
"27","제목 바꿔라 데드볼- 연속빈볼"
"28","감동적이었다고 한들.. 랭킹 1위를 할 만한 영화는 아님 다큐이지.. 미안해요"
"29","오늘 데드볼때문에 이미지 다깎아내리시네. 앞으로 더럽게 야구하지 마세요"
"30","이딴 야구하면서 야신은 무슨 ㅋㅋㅋ"
"31","드러운노친네 빈볼날리니 좋아?"
